Estación	Este	Norte	Altitud	Tx	Tn
Susapaya	379630.6	8081282.1	3420	17.1	3.3
Tarata	390225	8067691.3	3050	20.4	3.1
Vilacota	388211.5	8107052.9	4440	11.7	-11.6
Chuapalca	432554.1	8080077.4	4338	14.5	-12.4
Candarave	366716.5	8090020	3435	16.1	3
Pampa_Umalzo	348358.5	8133726.1	4609	11.2	-7.7
Cairani	357693	8088083.7	3920	17.1	2.8
Locumba	313016.5	8052122.5	641	25.9	11.2
Ite	291699.6	8023776.6	154	21.1	15.2
Ilabaya	338012.2	8074842.2	1645	25.1	11.7
Sama Grande	342251	8033092.4	534	24.5	12.6
Palca	397624.2	8033982.5	2953	19.3	6.8
Calana	374391.8	8015068.4	871	22	10.1
La_Yarada	338858.2	7985748.2	58	22.9	14.2
Jorge_Basadre	367588	8006391	545	22	12.6
Calientes	379352	8022845.4	1200	22.9	8.7
Capazo	420858.1	8099851.8	4530	13	-9
Bocatoma	433544	8056186.4	4260	14.2	-7.7
Paucarani	417266.2	8062195.9	4556	11.7	-10.5
